States;Median household income (dollars);;;Maryland;New Hampshire;Connecticut;Virginia;New Jersey;Massachusetts;Alaska;District of Columbia;Minnesota;Colorado;Washington;Hawaii;Utah;California;Wyoming;North Dakota;Rhode Island;Vermont;Nebraska;Wisconsin;Oregon;Illinois;Iowa;Delaware;Pennsylvania;Texas;New York;South Dakota;Maine;Michigan;Kansas;Idaho;Arizona;Missouri;Georgia;Indiana;Oklahoma;Nevada;Florida;Ohio;Montana;South Carolina;North Carolina;Tennessee;New Mexico;Alabama;West Virginia;Kentucky;Arkansas;Louisiana;Mississippi;;
;Value;Standard error;;69.826;69.453;66.905;66.015;64.670;64.373;61.731;61.365;61.162;60.727;60.692;59.882;59.877;56.883;56.835;55.946;55.159;54.982;54.777;54.342;54.067;54.044;53.696;52.839;52.768;52.169;51.554;51.165;50.487;50.056;50.003;49.847;49.562;49.403;47.958;47.805;47.691;47.371;47.114;45.887;43.864;43.437;43.395;43.303;43.221;43.196;42.581;41.707;40.760;40.462;40.194;;
;;;;1.889;1.576;1.864;1.471;1.813;2.360;1.905;1.895;1.241;2.033;1.359;1.445;2.224;916;2.046;1.742;1.538;1.769;1.311;1.306;1.268;1.012;1.619;1.304;1.059;912;932;1.447;1.396;1.342;1.059;2.689;2.560;2.075;1.308;1.817;1.971;1.982;829;996;1.614;1.452;1.162;2.143;1.686;1.902;1.732;1.254;1.785;1.636;1.641;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Illinois;54.044;1.012;; ; ; ; ; ; ; ; ; ; ; ; ; ; ;*;*;*;*;*;*;*;*;*;*;*;*; ;*; ; ; ;*;*; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
Iowa;53.696;1.619;; ; ; ; ; ; ; ; ; ; ; ; ; ; ;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*; ; ;*;*;*; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
Delaware;52.839;1.304;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*; ;*;*;*; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
Pennsylvania;52.768;1.059;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*; ;*;*;*; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
Texas;52.169;912;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
New York;51.554;932;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;*; ;*;*;*;*;*;*;*;*;*;*;*;*; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;;
South Dakota;51.165;1.447;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*; ; ; ; ; ; ; ; ; ; ; ; ; ;;
Maine;50.487;1.396;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*; ; ; ; ; ; ; ; ; ; ; ; ; ;;
Michigan;50.056;1.342;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*; ; ; ; ; ; ; ; ; ; ; ; ; ;;
Kansas;50.003;1.059;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;*;*;*;*;*;*;*;*;*;*;*;*;*; ; ; ; ; ; ; ; ; ; ; ; ; ;;
Idaho;49.847;2.689;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;*; ;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*; ; ; ; ; ; ; ; ; ; ; ;;
Arizona;49.562;2.560;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*; ; ; ; ; ; ; ; ; ; ; ;;
Missouri;49.403;2.075;; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*; ; ; ; ; ; ; ; ; ; ; ;;
